instance,time0[s],time1[s],time2[s],time3[s],time4[s],time5[s],time6[s],time7[s],time8[s],time9[s]
exhsearch_s11_d4_num6,0.4020762999999761,0.407435200000009,0.40450160000000324,0.4041634000000158,0.40399510000003147,0.4044226999999978,0.40424910000001546,0.4024914000000308,0.40462710000002744,0.404095199999972
exhsearch_s11_d4_num7,6.189716699999963,6.101324700000021,6.091138200000046,6.074087500000019,6.094153000000006,6.093762400000003,6.129603900000006,6.085174199999983,6.09519819999997,6.093545699999993
exhsearch_s11_d4_num8,3.5318538000000217,3.533223399999997,3.5399955999999975,3.5335862999999677,3.5455028000000084,3.534171599999979,3.5364571999999725,3.5354024000000095,3.5343025999999895,3.5363107000000014
exhsearch_s11_d4_num9,0.2494137999999566,0.24945719999999483,0.25141359999997803,0.2521087999999736,0.2512057000000141,0.24959929999999986,0.25146010000003116,0.2510912999999846,0.25162229999995134,0.24953419999997095
exhsearch_s13_d1_num1,0.0007353999999963889,0.0006207000000131302,0.0005910999999514388,0.0005797000000029584,0.0005722999999875356,0.0005740999999943597,0.0005706000000031963,0.0006182000000194421,0.000580200000001696,0.0005840000000034706
exhsearch_s13_d1_num10,0.0005411000000208332,0.00048160000000052605,0.0004719000000363849,0.0004792999999949643,0.0004923000000189859,0.0004685999999765045,0.00046419999995350736,0.0005582000000003973,0.0005165000000033615,0.0005049000000099113
exhsearch_s13_d1_num2,0.0005234000000200467,0.0004549999999881038,0.00044389999999339125,0.00044509999997899286,0.00048540000000230066,0.0005155999999715277,0.0004589999999780048,0.00045399999999062857,0.0004877000000078624,0.0004481999999939035
exhsearch_s13_d1_num3,0.0005562000000054468,0.0004991999999788277,0.0004858000000353968,0.00048110000000178843,0.0004820000000336222,0.0005471999999713262,0.0005207000000382322,0.00047980000005054535,0.00047900000004119647,0.0005140999999753149
exhsearch_s13_d1_num4,0.0005949999999756983,0.0005691000000069835,0.0005481999999688014,0.0005216000000132226,0.0005209000000263586,0.0008268999999927473,0.0005305999999904998,0.0005267999999887252,0.0005211999999801264,0.0005160000000046239
exhsearch_s13_d1_num5,0.0006158999999570369,0.0005057000000192602,0.0005016000000068743,0.0004942000000482949,0.000491500000009637,0.0005198000000063985,0.000500700000031884,0.0004954000000338965,0.000492199999996501,0.0004920000000083746
exhsearch_s13_d1_num6,0.00048279999998612766,0.0004382999999847925,0.00040729999994937316,0.0004013000000213651,0.00040350000000444197,0.0003949000000034175,0.00039290000000846703,0.00039659999998775675,0.0003917000000228654,0.0003922999999872445
exhsearch_s13_d1_num7,0.0006496000000311142,0.0005869999999958964,0.0005772000000092703,0.0005745999999930973,0.0005717999999887979,0.0005714999999781867,0.0005757999999786989,0.0005719999999769243,0.0006735000000048785,0.0006061000000272543
exhsearch_s13_d1_num8,0.0005904999999870597,0.000571699999966313,0.0005170000000020991,0.0005109999999604042,0.0005117000000041116,0.0005227000000331827,0.0005115999999816268,0.0005049000000099113,0.0005447000000344815,0.0005181999999877007
exhsearch_s13_d1_num9,0.0005908999999633124,0.000523700000030658,0.0005401999999889995,0.00051640000003772,0.0005145999999740525,0.0006118000000014945,0.0005583999999885236,0.000533500000017284,0.000517100000024584,0.0005202999999482927
exhsearch_s13_d2_num1,0.01333399999998619,0.013224100000002181,0.013174800000001596,0.01314380000002302,0.01289040000000341,0.013106600000014623,0.013137199999960103,0.013229099999989558,0.013080500000000939,0.013233899999988807
exhsearch_s13_d2_num10,0.007720399999982419,0.007854600000030132,0.00774780000000419,0.007824400000004061,0.007716099999981907,0.007679199999984121,0.007708100000002105,0.007680699999980334,0.007698799999957373,0.007650600000033592
exhsearch_s13_d2_num2,0.0007611999999994623,0.0007539000000065244,0.000719599999968068,0.0006804999999872052,0.0006720999999743071,0.0006736000000273634,0.0006885999999894921,0.0006802000000334374,0.0006705999999780943,0.0006695000000149776
exhsearch_s13_d2_num3,0.0023854000000369524,0.002324200000032306,0.002389900000025591,0.002419799999984207,0.002341899999976249,0.0023193000000105712,0.002303600000004735,0.002358399999991434,0.0023138000000244574,0.0022977999999511667
exhsearch_s13_d2_num4,0.0060435999999981505,0.005899099999965074,0.006128699999976561,0.005946300000005067,0.006022900000004938,0.005983999999955358,0.005962199999999029,0.006016799999997602,0.006030500000008487,0.006014199999981429
exhsearch_s13_d2_num5,0.0032951000000025488,0.003100700000004508,0.0031692000000020926,0.003324499999962427,0.0031343999999648986,0.003400600000020404,0.0032357000000047265,0.0030681000000072345,0.003208699999959208,0.0031414000000040687
exhsearch_s13_d2_num6,0.0007291999999665677,0.0006518999999798325,0.0006338999999684347,0.0006642999999826316,0.0006424000000038177,0.0006278999999835833,0.0006614000000126907,0.0006280999999717096,0.000632100000018454,0.0006291999999916698
exhsearch_s13_d2_num7,0.001649299999996856,0.0015955000000076325,0.0015816000000086206,0.00156320000002097,0.0015333999999711523,0.0015372999999954118,0.0015204999999696156,0.0015002000000094995,0.001495700000020861,0.0015280000000075233
